time crIndex gridPoint
f i i
 0.0000e+000 856740 869545
 0.0000e+000 426629 869571
 0.0000e+000 449719 869597
 0.0000e+000 440455 870977
 0.0000e+000 845816 869623
 0.0000e+000 481926 869649
 0.0000e+000 837050 869675
 0.0000e+000 440477 869701
 0.0000e+000 834059 869727
 0.0000e+000 441934 869753
 0.0000e+000 833980 869779
 0.0000e+000 440398 869805
 0.0000e+000 457677 869831
 0.0000e+000 857148 869857
 0.0000e+000 856784 869883
 0.0000e+000 856542 871386
 0.0000e+000 440376 871412
 0.0000e+000 433222 871438
 0.0000e+000 440001 872455
 0.0000e+000 849810 871464
 0.0000e+000 843336 871490
 0.0000e+000 840451 871516
 0.0000e+000 457598 871542
 0.0000e+000 840877 871568
 0.0000e+000 842562 871594
 0.0000e+000 460230 871620
 0.0000e+000 856586 871646
 0.0000e+000 856344 872576
 0.0000e+000 471931 872775
 0.0000e+000 442006 872602
 0.0000e+000 460151 872824
 0.0000e+000 856054 872628
 0.0000e+000 448167 872654
 0.0000e+000 856388 872680
 0.0000e+000 843167 872873
 0.0000e+000 465463 873316
 0.0000e+000 834506 872899
 0.0000e+000 448117 873267
 0.0000e+000 834434 872925
 0.0000e+000 840372 872951
 0.0000e+000 448145 873216
 0.0000e+000 856076 872977
 0.0000e+000 456543 873437
 0.0000e+000 855856 873918
 0.0000e+000 448095 873944
 0.0000e+000 851432 873970
 0.0000e+000 851744 873996
 0.0000e+000 855900 874022
 0.0000e+000 855658 874121
 0.0000e+000 457548 874147
 0.0000e+000 443650 874173
 0.0000e+000 459436 874199
 0.0000e+000 855368 874225
 0.0000e+000 449769 874251
 0.0000e+000 444082 874277
 0.0000e+000 449741 874303
 0.0000e+000 855702 874329
 0.0000e+000 849562 874518
 0.0000e+000 455066 875757
 0.0000e+000 840344 874544
 0.0000e+000 463223 875492
 0.0000e+000 835471 874570
 0.0000e+000 835897 874596
 0.0000e+000 461174 875394
 0.0000e+000 459458 874622
 0.0000e+000 469357 875443
 0.0000e+000 845155 874648
 0.0000e+000 855390 874674
 0.0000e+000 457620 875345
 0.0000e+000 469067 874700
 0.0000e+000 457699 875296
 0.0000e+000 855170 876096
 0.0000e+000 848960 876122
 0.0000e+000 456139 877070
 0.0000e+000 457570 876148
 0.0000e+000 463145 877119
 0.0000e+000 830717 876174
 0.0000e+000 474430 877217
 0.0000e+000 468988 876200
 0.0000e+000 468838 877168
 0.0000e+000 830342 876226
 0.0000e+000 472414 876923
 0.0000e+000 833114 876252
 0.0000e+000 465441 876972
 0.0000e+000 454577 876278
 0.0000e+000 456565 877021
 0.0000e+000 855214 876304
 0.0000e+000 836881 877556
 0.0000e+000 485725 878527
 0.0000e+000 473961 877582
 0.0000e+000 473207 878576
 0.0000e+000 829859 877608
 0.0000e+000 460173 878262
 0.0000e+000 829938 877634
 0.0000e+000 832964 877660
 0.0000e+000 468938 878746
 0.0000e+000 461152 877686
 0.0000e+000 468966 878697
 0.0000e+000 855016 877712
 0.0000e+000 479776 879204
 0.0000e+000 460252 878069
 0.0000e+000 483504 879155
 0.0000e+000 854726 879399
 0.0000e+000 854682 879425
